date,coral,pH_treat,pHt,TAi,I.SD,TAf,F.SD,delTA,vol,time,pHw,sal,temp,DICi,DICf,HCO3i,HCO3f,CO3i,CO3f,ALKi,ALKf,pCO2i,pCO2f,aragi,aragf
1/6/14,MCAV1,8.2pHc,8.2pH,2396.125,3.6021984,2170.3,2.50466232,225.825,123.168,90,8.25,35,27,1892.94735,1702.67578,1527.75386,1374.19009,359.451218,323.320604,2396.125,2170.3,213.188091,191.759253,5.76017275,5.18118298
1/7/14,MCAV1,8.2pHc,8.2pH,2398.35,4.31779265,2250.225,6.48813019,148.125,126.464,86,8.2,35,27,1933.37879,1806.69702,1592.68508,1488.32676,333.97694,312.093599,2398.35,2250.225,249.367309,233.027874,5.35194978,5.00127125
1/8/14,MCAV1,8.2pHc,8.2pH,2394.4,3.95558677,2281.625,7.13600028,112.775,135.874,98,8.265,35,27,1879.694,1785.11333,1507.15515,1431.31954,367.066315,348.596619,2394.4,2281.625,203.173704,192.950594,5.88220398,5.5862288
1/9/14,MCAV1,8.2pHc,8.2pH,2378.125,3.93478081,2240.45,5.1,137.675,124.89,91,8.25,35,27,1877.78124,1761.78151,1515.51364,1421.89295,356.571329,334.544174,2378.125,2240.45,211.480047,198.415881,5.71402279,5.36103965
2/5/14,MCAV1,8.2pHc,8.2pH,2323.75,3.5180487,2121.425,2.55130685,202.325,131.81,91,8.26,35,27,1824.29552,1654.3486,1465.96368,1329.39809,352.947233,320.067531,2323.75,2121.425,199.909182,181.286119,5.65594698,5.12905278
2/10/14,MCAV1,8.2pHc,8.2pH,2314.7,4.60506967,2173.05,1.75404295,141.65,128.264,90,8.27,35,27,1808.9992,1690.38723,1447.2471,1352.3544,356.55724,333.178592,2314.7,2173.05,192.864461,180.218769,5.71379701,5.33915633
2/21/14,MCAV1,8.2pHc,8.2pH,2314.95,5.04942241,2188.575,1.17011395,126.375,126.444,87,8.2,35,27,1862.05214,1753.97175,1533.92738,1444.89256,321.655788,302.985697,2314.95,2188.575,240.167587,226.22736,5.15450445,4.85531795
6/27/14,MCAV2,7.6pH,7.6pH,2372.425,4.80789282,2128.825,1.00457288,243.6,152.558,93,7.6,35,27,2252.97575,2017.28391,2106.64395,1886.2604,110.962878,99.3546545,2372.425,2128.825,1313.11395,1175.74382,1.77816992,1.59214921
6/28/14,MCAV2,7.6pH,7.6pH,2370.625,0.73654599,2109.375,5.33877327,261.25,148.052,84,7.68,35,27,2217.25031,1967.44644,2058.1715,1826.29005,130.337123,115.652846,2370.625,2109.375,1067.06886,946.848409,2.08864042,1.85332623
7/8/14,MCAV2,7.6pH,7.6pH,2369.9,4.84767986,2183,8.51860708,186.9,145.977,94,7.6,35,27,2250.53272,2069.70019,2104.3596,1935.27222,110.842554,101.936245,2369.9,2183,1311.69006,1206.294,1.77624175,1.63351896
7/9/14,MCAV2,7.6pH,7.6pH,2368.925,2.63486243,2077.55,5.36003731,291.375,147.898,90,7.65,35,27,2228.67185,1948.79771,2074.99118,1814.41609,122.631722,107.231766,2368.925,2077.55,1152.72915,1007.97018,1.96516207,1.7183792
7/11/14,MCAV2,7.6pH,7.6pH,2380,6.78969808,2157.075,1.83007286,222.925,150.887,74,7.68,35,27,2226.21456,2013.05656,2066.4926,1868.62783,130.864071,118.333956,2380,2157.075,1071.383,968.798701,2.09708471,1.89629077
7/12/14,MCAV2,7.6pH,7.6pH,2369.775,3.44710023,2080.75,5.5,289.025,141.851,86,7.7,35,27,2207.51162,1932.0049,2044.65996,1789.47781,135.583757,118.662334,2369.775,2080.75,1012.35282,886.006529,2.17271725,1.901553
6/26/14,MCAV2,7.9pH,7.9pH,2365.625,1.56923548,2096.5,1.80739223,269.125,151.341,95,7.98,35,27,2055.75217,1812.26865,1813.86876,1599.03394,229.188294,202.043207,2365.625,2096.5,471.319945,415.496673,3.67272136,3.23772382
6/27/14,MCAV2,7.9pH,7.9pH,2372.825,3.99614397,2010.35,5.73323643,362.475,158.994,90,7.98,35,27,2062.26617,1734.32678,1819.61632,1530.26285,229.914517,193.353752,2372.825,2010.35,472.813406,397.627008,3.68435901,3.09847612
7/7/14,MCAV2,7.9pH,7.9pH,2365.95,4.11055552,1997.25,6.02245797,368.7,143.294,92,7.96,35,27,2068.19027,1733.15376,1833.50977,1536.49034,221.243133,185.40285,2365.95,1997.25,498.876709,418.06105,3.54540088,2.97106363
7/8/14,MCAV2,7.9pH,7.9pH,2376.825,3.78714932,2032.575,3.49034382,344.25,150.366,92,7.9,35,27,2113.08853,1796.34046,1897.68149,1613.22254,199.43891,169.543386,2376.825,2032.575,592.834498,503.96954,3.19599021,2.71691718
7/10/14,MCAV2,7.9pH,7.9pH,2378.25,6.2249498,2081.85,3.9619019,296.4,143.082,91,7.96,35,27,2079.36724,1810.02951,1843.41848,1604.64289,222.438781,193.626576,2378.25,2081.85,501.572757,436.60459,3.56456103,3.1028481
7/11/14,MCAV2,7.9pH,7.9pH,2372.225,6.41476162,2082.55,1.93304596,289.675,141.678,83,7.96,35,27,2073.89234,1810.6656,1838.56482,1605.2068,221.853108,193.694621,2372.225,2082.55,500.252132,436.758024,3.55517568,3.10393851
7/12/14,MCAV2,7.9pH,7.9pH,2369.375,6.56930996,2098.95,5.44946481,270.425,157.403,96,7.9,35,27,2106.23371,1857.4128,1891.52544,1668.0692,198.791934,175.307556,2369.375,2098.95,590.911349,521.103629,3.18562248,2.80928747
6/25/14,MCAV2,8.2pH,8.2pH,2381.05,3.33916157,2139.75,5.39969135,241.3,151.325,92,8.2,35,27,1918.58321,1712.21488,1580.49673,1410.49395,331.421114,295.772504,2381.05,2139.75,247.458974,220.841552,5.3109929,4.7397272
6/26/14,MCAV2,8.2pH,8.2pH,2383.825,4.16843296,2048.975,6.3798511,334.85,158.078,83,8.16,35,27,1950.67141,1661.02218,1631.17675,1388.96831,311.95187,265.631092,2383.825,2048.975,280.033946,238.452526,4.99900006,4.25671384
6/28/14,MCAV2,8.2pH,8.2pH,2382.475,4.74297726,2016.725,5.96566565,365.75,143.537,88,8.26,35,27,1873.62275,1566.40375,1505.60196,1258.72754,362.490594,303.052803,2382.475,2016.725,205.314542,171.648978,5.80887846,4.85639333
6/29/14,MCAV2,8.2pH,8.2pH,2370.3,3.68872155,2207.56667,3.1785741,162.733333,153.095,92,8.2,35,27,1909.38943,1770.2141,1572.92305,1458.27274,329.832956,305.791443,2370.3,2207.56667,246.273158,228.322301,5.28554281,4.90027977
7/9/14,MCAV2,8.2pH,8.2pH,2375.925,4.7842624,2117.525,5.60795566,258.4,141.22,76,8.21,35,27,1906.65101,1686.30294,1564.49585,1383.69001,335.707456,296.910377,2375.925,2117.525,239.377876,211.713404,5.37968114,4.75796152
7/10/14,MCAV2,8.2pH,8.2pH,2387.225,4.80927923,2026.1,2.98105127,361.125,147.709,88,8.19,35,27,1931.38648,1621.64574,1597.19493,1341.04923,327.298862,274.809215,2387.225,2026.1,255.898384,214.859359,5.24493419,4.40379242
6/25/14,MCAV2,8.2pHc,8.2pH,2387.8,2.6807959,2097.825,6.48144788,289.975,152.509,83,8.2,35,27,1924.35605,1676.35913,1585.2523,1380.95658,332.418329,289.578687,2387.8,2097.825,248.203555,216.216872,5.32697319,4.64047186
6/26/14,MCAV2,8.2pHc,8.2pH,2383.625,2.97139137,2042,4.2,341.625,155.514,103,8.29,35,27,1850.82691,1566.56584,1467.27035,1241.91819,378.526869,320.390448,2383.625,2042,186.732389,158.052895,6.0658583,5.1342275
6/27/14,MCAV2,8.2pHc,8.2pH,2385,7.30616178,2025.5,4.53651849,359.5,143.016,87,8.26,35,27,1875.74368,1573.77449,1507.30629,1264.6505,362.90093,304.478822,2385,2025.5,205.546956,172.456675,5.81545406,4.87924516
6/28/14,MCAV2,8.2pHc,8.2pH,2376.6,3.41076726,2071.525,2.34716141,305.075,144.768,78,8.26,35,27,1868.68793,1612.43411,1501.63644,1295.71652,361.535852,311.958315,2376.6,2071.525,204.773776,176.693059,5.79357881,4.99910333
7/7/14,MCAV2,8.2pHc,8.2pH,2386.9,4.44297198,2045.375,5.73897494,341.525,148.284,83,8.26,35,27,1877.33962,1590.46889,1508.58875,1278.06576,363.209698,307.708696,2386.9,2045.375,205.721842,174.286075,5.82040204,4.93100358
7/8/14,MCAV2,8.2pHc,8.2pH,2381.55,6.86707119,2115.16667,2.41108551,266.383333,141.486,83,8.2,35,27,1919.01083,1691.19034,1580.84899,1393.17428,331.494981,292.14067,2381.55,2115.16667,247.514128,218.129804,5.31217662,4.68152739
7/9/14,MCAV2,8.2pHc,8.2pH,2374.95,2.69629375,2046.525,6.59867411,328.425,148.785,79,8.18,35,27,1928.29401,1645.79426,1600.67904,1366.17568,320.546345,273.585527,2374.95,2046.525,262.430246,223.983547,5.13672573,4.38418294
7/10/14,MCAV2,8.2pHc,8.2pH,2383.85,4.26575511,1987.45,8.1184974,396.4,151.263,107,8.26,35,27,1874.77771,1541.81363,1506.53006,1238.96746,362.714044,298.295342,2383.85,1987.45,205.441104,168.954352,5.81245924,4.78015545
7/11/14,MCAV2,8.2pHc,8.2pH,2383.2,4.77702836,2057.475,3.24486774,325.725,151.404,84,8.27,35,27,1866.35832,1593.60941,1493.13591,1274.92959,367.862834,314.103497,2383.2,2057.475,198.979746,169.900902,5.89496812,5.03347968
7/12/14,MCAV2,8.2pHc,8.2pH,2386.75,5.98303156,2032.625,2.62852937,354.125,150.887,100,8.2,35,27,1923.45806,1620.59777,1584.51254,1335.02131,332.263207,279.946324,2386.75,2032.625,248.087732,209.024765,5.32448736,4.48611412
