Time,time(h),time(min),umol/L,o2sat,light
23-07-2013 14:49:23,0.781554,12.60234,521.789,260.76,l
23-07-2013 14:49:28,0.782947,12.68592,541.05,270.39,l
23-07-2013 14:49:33,0.784336,12.76926,558.973,279.35,l
23-07-2013 14:49:38,0.785728,12.85278,577.411,288.56,l
23-07-2013 14:49:43,0.787117,12.93612,593.259,296.48,l
23-07-2013 14:49:48,0.788509,13.01964,608.004,303.85,l
23-07-2013 14:49:53,0.7899,13.1031,621.367,310.53,l
23-07-2013 14:49:58,0.791292,13.18662,632.864,316.27,l
23-07-2013 14:50:03,0.792682,13.27002,642.178,320.93,l
23-07-2013 14:50:08,0.794078,13.35378,651.539,325.61,l
23-07-2013 14:50:13,0.795468,13.43718,661.331,330.50,l
23-07-2013 14:50:18,0.796859,13.52064,670.891,335.28,l
23-07-2013 14:50:23,0.79825,13.6041,679.948,339.80,l
23-07-2013 14:50:28,0.799641,13.68756,687.684,343.67,l
23-07-2013 14:50:33,0.801033,13.77108,693.888,346.77,l
23-07-2013 14:50:38,0.802423,13.85448,700.167,349.91,l
23-07-2013 14:50:43,0.803815,13.938,706.752,353.20,l
23-07-2013 14:50:48,0.805206,14.02146,713.027,356.34,l
23-07-2013 14:50:53,0.806596,14.10486,718.728,359.18,l
23-07-2013 14:50:58,0.807988,14.18838,723.852,361.75,l
23-07-2013 14:51:03,0.809379,14.27184,729.245,364.44,l
23-07-2013 14:51:08,0.810769,14.35524,734.832,367.23,l
23-07-2013 14:51:13,0.812161,14.43876,740.966,370.30,l
23-07-2013 14:51:18,0.813551,14.52216,746.019,372.82,l
23-07-2013 14:51:23,0.814944,14.60574,749.053,374.34,l
23-07-2013 14:51:28,0.816334,14.68914,751.005,375.31,l
23-07-2013 14:51:33,0.817725,14.7726,747.707,373.67,l
23-07-2013 14:51:38,0.819115,14.856,745.363,372.50,l
23-07-2013 14:51:43,0.820506,14.93946,745.022,372.32,l
23-07-2013 14:51:48,0.821897,15.02292,747.107,373.37,l
23-07-2013 14:51:53,0.823289,15.10644,749.92,374.77,l
23-07-2013 14:51:58,0.824679,15.18984,755.031,377.33,l
23-07-2013 14:52:03,0.826072,15.27342,761.089,380.35,l
23-07-2013 14:52:08,0.827464,15.35694,766.194,382.91,l
23-07-2013 14:52:13,0.828853,15.44028,771.086,385.35,l
23-07-2013 14:52:18,0.830244,15.52374,775.22,387.42,l
23-07-2013 14:52:23,0.831635,15.6072,778.78,389.20,l
23-07-2013 14:52:28,0.833025,15.6906,783.962,391.79,l
23-07-2013 14:52:33,0.834417,15.77412,788.397,394.00,l
23-07-2013 14:52:38,0.835808,15.85758,792.233,395.92,l
23-07-2013 14:52:43,0.837199,15.94104,796.141,397.87,l
23-07-2013 14:52:48,0.838592,16.02462,800.232,399.92,l
23-07-2013 14:52:53,0.83998,16.1079,803.549,401.57,l
23-07-2013 14:52:58,0.841371,16.19136,806.554,403.08,l
23-07-2013 14:53:03,0.842762,16.27482,809.023,404.31,l
23-07-2013 14:53:08,0.844154,16.35834,811.952,405.77,l
23-07-2013 14:53:13,0.845544,16.44174,814.957,407.27,l
23-07-2013 14:53:18,0.846936,16.52526,817.669,408.63,l
23-07-2013 14:53:23,0.848327,16.60872,819.944,409.77,l
23-07-2013 14:53:28,0.849721,16.69236,822.565,411.08,l
23-07-2013 14:53:33,0.851109,16.77564,825.241,412.41,l
23-07-2013 14:53:38,0.852499,16.85904,827.937,413.76,l
23-07-2013 14:53:43,0.853891,16.94256,829.746,414.67,l
23-07-2013 14:53:48,0.855281,17.02596,829.57,414.58,l
23-07-2013 14:53:53,0.856672,17.10942,831.288,415.44,l
23-07-2013 14:53:58,0.858064,17.19294,831.7,415.64,l
