time,gvc,water,water2,light
31.5,7.60821,8.2,8.2,D
31.5834,7.60767,8.2,8.2,D
31.6668,7.60826,8.2,8.2,D
31.7502,7.60779,8.2,8.2,D
31.8336,7.60925,8.2,8.2,D
31.917,7.60795,8.2,8.2,D
32.0004,7.60856,8.2,8.2,D
32.0832,7.60788,8.2,8.2,D
32.1666,7.60842,8.2,8.2,D
32.25,7.61185,8.2,8.2,D
32.3334,7.62422,8.2,8.2,D
32.4168,7.63771,8.2,8.2,D
32.5002,7.64762,8.2,8.2,D
32.5836,7.65197,8.2,8.2,D
32.667,7.65309,8.2,8.2,D
32.7504,7.64652,8.2,8.2,D
32.8332,7.64107,8.2,8.2,D
32.9166,7.62819,8.2,8.2,D
33,7.61356,8.2,8.2,D
33.0834,7.60608,8.2,8.2,D
33.1668,7.60158,8.2,8.2,D
33.2502,7.59716,8.2,8.2,D
33.3336,7.59007,8.2,8.2,D
33.417,7.58064,8.2,8.2,D
33.5004,7.56329,8.2,8.2,D
33.5832,7.54628,8.2,8.2,D
33.6666,7.53019,8.2,8.2,D
33.75,7.51009,8.2,8.2,D
33.8334,7.49185,8.2,8.2,D
33.9168,7.47292,8.2,8.2,D
34.0002,7.44954,8.2,8.2,D
34.0836,7.43105,8.2,8.2,D
34.167,7.4213,8.2,8.2,D
34.2504,7.41105,8.2,8.2,D
34.3332,7.39512,8.2,8.2,D
34.4166,7.37898,8.2,8.2,D
34.5,7.36514,8.2,8.2,D
34.5834,7.35769,8.2,8.2,D
34.6668,7.34645,8.2,8.2,D
34.7502,7.3372,8.2,8.2,D
34.8336,7.32915,8.2,8.2,D
34.917,7.32192,8.2,8.2,D
35.0004,7.31036,8.2,8.2,D
35.0832,7.29963,8.2,8.2,D
35.1666,7.29856,8.2,8.2,D
35.25,7.29903,8.2,8.2,D
35.3334,7.30153,8.2,8.2,D
35.4168,7.3052,8.2,8.2,D
35.5002,7.3046,8.2,8.2,D
35.5836,7.30318,8.2,8.2,D
35.667,7.29943,8.2,8.2,D
35.7504,7.30384,8.2,8.2,D
35.8332,7.30913,8.2,8.2,D
35.9166,7.30933,8.2,8.2,D
36,7.31458,8.2,8.2,D
36.0834,7.32329,8.2,8.2,D
36.1668,7.33283,8.2,8.2,D
36.2502,7.34581,8.2,8.2,D
36.3336,7.35425,8.2,8.2,D
36.417,7.35784,8.2,8.2,D
36.5004,7.35808,8.2,8.2,D
36.5832,7.36194,8.2,8.2,D
36.6666,7.35866,8.2,8.2,D
36.75,7.35691,8.2,8.2,D
36.8334,7.35821,8.2,8.2,D
36.9168,7.35805,8.2,8.2,D
37.0002,7.35394,8.2,8.2,D
37.0836,7.3555,8.2,8.2,D
37.167,7.36043,8.2,8.2,D
37.2504,7.3629,8.2,8.2,D
37.3332,7.36505,8.2,8.2,D
37.4166,7.37087,8.2,8.2,D
37.5,7.3863,8.2,8.2,D
37.5834,7.40786,8.2,8.2,D
37.6668,7.41416,8.2,8.2,D
37.7502,7.41817,8.2,8.2,D
37.8336,7.42606,8.2,8.2,D
37.917,7.43764,8.2,8.2,D
38.0004,7.46386,8.2,8.2,D
38.0832,7.48861,8.2,8.2,D
38.1666,7.50574,8.2,8.2,D
38.25,7.51785,8.2,8.2,D
38.3334,7.52408,8.2,8.2,D
38.4168,7.52521,8.2,8.2,D
38.5002,7.5265,8.2,8.2,D
38.5836,7.52508,8.2,8.2,D
38.667,7.52859,8.2,8.2,D
38.7504,7.53256,8.2,8.2,D
38.8332,7.5341,8.2,8.2,D
38.9166,7.53391,8.2,8.2,D
39,7.53129,8.2,8.2,D
39.0834,7.52457,8.2,8.2,D
39.1668,7.523,8.2,8.2,D
39.2502,7.52361,8.2,8.2,D
39.3336,7.52162,8.2,8.2,D
39.417,7.51057,8.2,8.2,D
39.5004,7.50284,8.2,8.2,D
39.5832,7.49355,8.2,8.2,D
39.6666,7.47969,8.2,8.2,D
39.75,7.45942,8.2,8.2,D
39.8334,7.43557,8.2,8.2,D
39.9168,7.4213,8.2,8.2,D
40.0002,7.40223,8.2,8.2,D
40.0836,7.37377,8.2,8.2,D
40.167,7.34673,8.2,8.2,D
40.2504,7.32662,8.2,8.2,D
40.3332,7.31578,8.2,8.2,D
40.4166,7.30537,8.2,8.2,D
40.5,7.29101,8.2,8.2,D
40.5834,7.2837,8.2,8.2,D
40.6668,7.28571,8.2,8.2,D
40.7502,7.28906,8.2,8.2,D
40.8336,7.29261,8.2,8.2,D
40.917,7.29548,8.2,8.2,D
41.0004,7.29831,8.2,8.2,D
41.0832,7.30886,8.2,8.2,D
41.1666,7.31635,8.2,8.2,D
41.2506,7.31764,8.2,8.2,D
41.334,7.32093,8.2,8.2,D
41.4174,7.32302,8.2,8.2,D
41.5008,7.33259,8.2,8.2,D
41.5842,7.34166,8.2,8.2,D
41.6676,7.34599,8.2,8.2,D
41.7504,7.3456,8.2,8.2,D
41.8338,7.36968,8.2,8.2,D
41.9172,7.37436,8.2,8.2,D
42.0006,7.38057,8.2,8.2,D
42.084,7.38519,8.2,8.2,D
42.1674,7.38709,8.2,8.2,D
42.2508,7.38703,8.2,8.2,D
42.3342,7.38682,8.2,8.2,D
42.4176,7.39641,8.2,8.2,D
42.5004,7.40093,8.2,8.2,D
42.5838,7.40885,8.2,8.2,D
42.6672,7.41281,8.2,8.2,D
42.7506,7.41746,8.2,8.2,D
42.834,7.42127,8.2,8.2,D
42.9174,7.42429,8.2,8.2,D
43.0008,7.43016,8.2,8.2,D
43.0842,7.43454,8.2,8.2,D
43.1676,7.43609,8.2,8.2,D
43.2504,7.43714,8.2,8.2,D
43.3338,7.4349,8.2,8.2,D
43.4172,7.43308,8.2,8.2,D
43.5006,7.4335,8.2,8.2,D
43.584,7.43194,8.2,8.2,D
43.6674,7.43207,8.2,8.2,D
43.7508,7.43054,8.2,8.2,D
43.8342,7.42875,8.2,8.2,D
43.9176,7.42885,8.2,8.2,D
44.0004,7.429,8.2,8.2,D
44.0838,7.42783,8.2,8.2,D
44.1672,7.42724,8.2,8.2,D
44.2506,7.42648,8.2,8.2,D
44.334,7.42492,8.2,8.2,D
44.4174,7.42336,8.2,8.2,D
44.5008,7.4212,8.2,8.2,D
44.5842,7.41715,8.2,8.2,D
44.6676,7.41599,8.2,8.2,D
44.7504,7.41574,8.2,8.2,D
44.8338,7.41542,8.2,8.2,D
44.9172,7.41413,8.2,8.2,D
